id,name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,weight,height,image_url,generation,category,total_stats,combined_type
44,gloom,planta,veneno,60,65,70,85,75,40,86,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,1,Común,395,planta/veneno
45,vileplume,planta,veneno,75,80,85,110,90,50,186,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,1,Común,490,planta/veneno
46,paras,bicho,planta,35,70,55,45,55,25,54,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,1,Común,285,bicho/planta
47,parasect,bicho,planta,60,95,80,60,80,30,295,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,1,Común,405,bicho/planta
48,venonat,bicho,veneno,60,55,50,40,55,45,300,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,1,Común,305,bicho/veneno
49,venomoth,bicho,veneno,70,65,60,90,75,90,125,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,1,Común,450,bicho/veneno
50,diglett,tierra,,10,55,25,35,45,95,8,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,1,Común,265,tierra
51,dugtrio,tierra,,35,100,50,50,70,120,333,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,1,Común,425,tierra
52,meowth,normal,,40,45,35,40,40,90,42,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,1,Común,290,normal
53,persian,normal,,65,70,60,65,65,115,320,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,1,Común,440,normal
54,psyduck,agua,,50,52,48,65,50,55,196,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,1,Común,320,agua
55,golduck,agua,,80,82,78,95,80,85,766,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,1,Común,500,agua
56,mankey,lucha,,40,80,35,35,45,70,280,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,1,Común,305,lucha
57,primeape,lucha,,65,105,60,60,70,95,320,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,1,Común,455,lucha
58,growlithe,fuego,,55,70,45,70,50,60,190,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,1,Común,350,fuego
59,arcanine,fuego,,90,110,80,100,80,95,1550,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,1,Común,555,fuego
60,poliwag,agua,,40,50,40,40,40,90,124,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,1,Común,300,agua
61,poliwhirl,agua,,65,65,65,50,50,90,200,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,1,Común,385,agua
62,poliwrath,agua,lucha,90,95,95,70,90,70,540,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,1,Común,510,agua/lucha
63,abra,psíquico,,25,20,15,105,55,90,195,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,1,Común,310,psíquico
64,kadabra,psíquico,,40,35,30,120,70,105,565,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,1,Común,400,psíquico
65,alakazam,psíquico,,55,50,45,135,95,120,480,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,1,Común,500,psíquico
66,machop,lucha,,70,80,50,35,35,35,195,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,1,Común,305,lucha
67,machoke,lucha,,80,100,70,50,60,45,705,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,1,Común,405,lucha
68,machamp,lucha,,90,130,80,65,85,55,1300,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,1,Común,505,lucha
69,bellsprout,planta,veneno,50,75,35,70,30,40,40,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,1,Común,300,planta/veneno
70,weepinbell,planta,veneno,65,90,50,85,45,55,64,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,1,Común,390,planta/veneno
71,victreebel,planta,veneno,80,105,65,100,70,70,155,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,1,Común,490,planta/veneno
72,tentacool,agua,veneno,40,40,35,50,100,70,455,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,1,Común,335,agua/veneno
73,tentacruel,agua,veneno,80,70,65,80,120,100,550,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,1,Común,515,agua/veneno
74,geodude,roca,tierra,40,80,100,30,30,20,200,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,1,Común,300,roca/tierra
75,graveler,roca,tierra,55,95,115,45,45,35,1050,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,1,Común,390,roca/tierra
76,golem,roca,tierra,80,120,130,55,65,45,3000,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,1,Común,495,roca/tierra
77,ponyta,fuego,,50,85,55,65,65,90,300,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,1,Común,410,fuego
78,rapidash,fuego,,65,100,70,80,80,105,950,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,1,Común,500,fuego
79,slowpoke,agua,psíquico,90,65,65,40,40,15,360,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,1,Común,315,agua/psíquico
80,slowbro,agua,psíquico,95,75,110,100,80,30,785,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,1,Común,490,agua/psíquico
81,magnemite,eléctrico,acero,25,35,70,95,55,45,60,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,1,Común,325,eléctrico/acero
82,magneton,eléctrico,acero,50,60,95,120,70,70,600,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,1,Común,465,eléctrico/acero
83,farfetchd,normal,volador,52,90,55,58,62,60,150,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,1,Común,377,normal/volador
84,doduo,normal,volador,35,85,45,35,35,75,392,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,1,Común,310,normal/volador
85,dodrio,normal,volador,60,110,70,60,60,110,852,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,1,Común,470,normal/volador
86,seel,agua,,65,45,55,45,70,45,900,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,1,Común,325,agua
87,dewgong,agua,hielo,90,70,80,70,95,70,1200,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,1,Común,475,agua/hielo
88,grimer,veneno,,80,80,50,40,50,25,300,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,1,Común,325,veneno
89,muk,veneno,,105,105,75,65,100,50,300,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,1,Común,500,veneno
90,shellder,agua,,30,65,100,45,25,40,40,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,1,Común,305,agua
91,cloyster,agua,hielo,50,95,180,85,45,70,1325,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,1,Común,525,agua/hielo
92,gastly,fantasma,veneno,30,35,30,100,35,80,1,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,1,Común,310,fantasma/veneno
93,haunter,fantasma,veneno,45,50,45,115,55,95,1,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,1,Común,405,fantasma/veneno
94,gengar,fantasma,veneno,60,65,60,130,75,110,405,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,1,Común,500,fantasma/veneno
95,onix,roca,tierra,35,45,160,30,45,70,2100,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,1,Común,385,roca/tierra
96,drowzee,psíquico,,60,48,45,43,90,42,324,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,1,Común,328,psíquico
97,hypno,psíquico,,85,73,70,73,115,67,756,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,1,Común,483,psíquico
98,krabby,agua,,30,105,90,25,25,50,65,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,1,Común,325,agua
99,kingler,agua,,55,130,115,50,50,75,600,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,1,Común,475,agua
100,voltorb,eléctrico,,40,30,50,55,55,100,104,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,1,Común,330,eléctrico
101,electrode,eléctrico,,60,50,70,80,80,150,666,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,1,Común,490,eléctrico
102,exeggcute,planta,psíquico,60,40,80,60,45,40,25,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,1,Común,325,planta/psíquico
103,exeggutor,planta,psíquico,95,95,85,125,75,55,1200,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,1,Común,530,planta/psíquico
104,cubone,tierra,,50,50,95,40,50,35,65,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,1,Común,320,tierra
105,marowak,tierra,,60,80,110,50,80,45,450,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,1,Común,425,tierra
106,hitmonlee,lucha,,50,120,53,35,110,87,498,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,1,Común,455,lucha
107,hitmonchan,lucha,,50,105,79,35,110,76,502,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,1,Común,455,lucha
108,lickitung,normal,,90,55,75,60,75,30,655,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,1,Común,385,normal
109,koffing,veneno,,40,65,95,60,45,35,10,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,1,Común,340,veneno
110,weezing,veneno,,65,90,120,85,70,60,95,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,1,Común,490,veneno
111,rhyhorn,tierra,roca,80,85,95,30,30,25,1150,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,1,Común,345,tierra/roca
112,rhydon,tierra,roca,105,130,120,45,45,40,1200,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,1,Común,485,tierra/roca
113,chansey,normal,,250,5,5,35,105,50,346,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,1,Común,450,normal
114,tangela,planta,,65,55,115,100,40,60,350,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,1,Común,435,planta
115,kangaskhan,normal,,105,95,80,40,80,90,800,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,1,Común,490,normal
116,horsea,agua,,30,40,70,70,25,60,80,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,1,Común,295,agua
117,seadra,agua,,55,65,95,95,45,85,250,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,1,Común,440,agua
118,goldeen,agua,,45,67,60,35,50,63,150,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,1,Común,320,agua
119,seaking,agua,,80,92,65,65,80,68,390,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,1,Común,450,agua
120,staryu,agua,,30,45,55,70,55,85,345,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,1,Común,340,agua
121,starmie,agua,psíquico,60,75,85,100,85,115,800,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,1,Común,520,agua/psíquico
122,mr-mime,psíquico,hada,40,45,65,100,120,90,545,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,1,Común,460,psíquico/hada
123,scyther,bicho,volador,70,110,80,55,80,105,560,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,1,Común,500,bicho/volador
124,jynx,hielo,psíquico,65,50,35,115,95,95,406,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,1,Común,455,hielo/psíquico
125,electabuzz,eléctrico,,65,83,57,95,85,105,300,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,1,Común,490,eléctrico
126,magmar,fuego,,65,95,57,100,85,93,445,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,1,Común,495,fuego
127,pinsir,bicho,,65,125,100,55,70,85,550,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,1,Común,500,bicho
128,tauros,normal,,75,100,95,40,70,110,884,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,1,Común,490,normal
129,magikarp,agua,,20,10,55,15,20,80,100,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,1,Común,200,agua
130,gyarados,agua,volador,95,125,79,60,100,81,2350,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,1,Común,540,agua/volador
131,lapras,agua,hielo,130,85,80,85,95,60,2200,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,1,Común,535,agua/hielo
132,ditto,normal,,48,48,48,48,48,48,40,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,1,Común,288,normal
133,eevee,normal,,55,55,50,45,65,55,65,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,1,Común,325,normal
134,vaporeon,agua,,130,65,60,110,95,65,290,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,1,Común,525,agua
135,jolteon,eléctrico,,65,65,60,110,95,130,245,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,1,Común,525,eléctrico
136,flareon,fuego,,65,130,60,95,110,65,250,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,1,Común,525,fuego
137,porygon,normal,,65,60,70,85,75,40,365,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,1,Común,395,normal
138,omanyte,roca,agua,35,40,100,90,55,35,75,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,1,Común,355,roca/agua
139,omastar,roca,agua,70,60,125,115,70,55,350,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,1,Común,495,roca/agua
140,kabuto,roca,agua,30,80,90,55,45,55,115,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,1,Común,355,roca/agua
141,kabutops,roca,agua,60,115,105,65,70,80,405,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,1,Común,495,roca/agua
142,aerodactyl,roca,volador,80,105,65,60,75,130,590,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,1,Común,515,roca/volador
143,snorlax,normal,,160,110,65,65,110,30,4600,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,1,Común,540,normal
144,articuno,hielo,volador,90,85,100,95,125,85,554,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,1,Legendario,580,hielo/volador
145,zapdos,eléctrico,volador,90,90,85,125,90,100,526,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,1,Legendario,580,eléctrico/volador
146,moltres,fuego,volador,90,100,90,125,85,90,600,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,1,Legendario,580,fuego/volador
147,dratini,dragón,,41,64,45,50,50,50,33,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,1,Común,300,dragón
148,dragonair,dragón,,61,84,65,70,70,70,165,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,1,Común,420,dragón
149,dragonite,dragón,volador,91,134,95,100,100,80,2100,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,1,Común,600,dragón/volador
150,mewtwo,psíquico,,106,110,90,154,90,130,1220,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,1,Legendario,680,psíquico
151,mew,psíquico,,100,100,100,100,100,100,40,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,1,Mítico,600,psíquico
152,chikorita,planta,,45,49,65,49,65,45,64,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,2,Común,318,planta
153,bayleef,planta,,60,62,80,63,80,60,158,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,2,Común,405,planta
154,meganium,planta,,80,82,100,83,100,80,1005,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,2,Común,525,planta
155,cyndaquil,fuego,,39,52,43,60,50,65,79,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,2,Común,309,fuego
156,quilava,fuego,,58,64,58,80,65,80,190,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,2,Común,405,fuego
157,typhlosion,fuego,,78,84,78,109,85,100,795,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,2,Común,534,fuego
158,totodile,agua,,50,65,64,44,48,43,95,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,2,Común,314,agua
159,croconaw,agua,,65,80,80,59,63,58,250,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,2,Común,405,agua
160,feraligatr,agua,,85,105,100,79,83,78,888,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,2,Común,530,agua
161,sentret,normal,,35,46,34,35,45,20,60,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,2,Común,215,normal
162,furret,normal,,85,76,64,45,55,90,325,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,2,Común,415,normal
163,hoothoot,normal,volador,60,30,30,36,56,50,212,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,2,Común,262,normal/volador
164,noctowl,normal,volador,100,50,50,86,96,70,408,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,2,Común,452,normal/volador
165,ledyba,bicho,volador,40,20,30,40,80,55,108,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,2,Común,265,bicho/volador
166,ledian,bicho,volador,55,35,50,55,110,85,356,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,2,Común,390,bicho/volador
167,spinarak,bicho,veneno,40,60,40,40,40,30,85,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,2,Común,250,bicho/veneno
168,ariados,bicho,veneno,70,90,70,60,70,40,335,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,2,Común,400,bicho/veneno
169,crobat,veneno,volador,85,90,80,70,80,130,750,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,2,Común,535,veneno/volador
170,chinchou,agua,eléctrico,75,38,38,56,56,67,120,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,2,Común,330,agua/eléctrico
171,lanturn,agua,eléctrico,125,58,58,76,76,67,225,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,2,Común,460,agua/eléctrico
